t (sec)	r (m)	θ (rad)	Vtot (m/s)	atot (m/s²)	Ptot (kg m/s)
0.000	61.1317	0.0183	0.0000	0.0000	0.0000
0.127	61.0919	0.0216	3.2028	25.1998	32.0282
0.252	60.9785	0.0312	6.3480	25.1140	63.4803
0.376	60.8037	0.0470	9.4539	24.9704	94.5387
0.501	60.5823	0.0694	12.5628	24.7629	125.6282
0.626	60.3403	0.0983	15.6416	24.4881	156.4162
0.751	60.1101	0.1337	18.6815	24.1418	186.8155
0.877	59.9304	0.1760	21.6972	23.7183	216.9723
1.000	59.8514	0.2235	24.5852	23.2344	245.8518
1.127	59.8350	0.2757	24.5920	10.2363	245.9200
1.252	59.8169	0.3271	24.5996	10.2425	245.9955
1.376	59.7969	0.3781	24.6079	10.2494	246.0787
1.502	59.7747	0.4300	24.6171	10.2570	246.1712
1.626	59.7509	0.4811	24.6270	10.2651	246.2701
1.751	59.7252	0.5326	24.6377	10.2740	246.3773
1.876	59.6978	0.5842	24.6492	10.2834	246.4918
2.002	59.6684	0.6362	24.6614	10.2935	246.6142
2.126	59.6380	0.6875	24.6741	10.3041	246.7414
2.251	59.6058	0.7392	24.6876	10.3152	246.8760
2.376	59.5721	0.7910	24.7017	10.3269	247.0166
2.502	59.5369	0.8433	24.7164	10.3391	247.1640
2.627	59.5006	0.8952	24.7316	10.3517	247.3156
2.751	59.4636	0.9468	24.7471	10.3646	247.4708
2.876	59.4252	0.9989	24.7632	10.3780	247.6318
3.002	59.3855	1.0514	24.7798	10.3919	247.7981
3.127	59.3453	1.1036	24.7967	10.4060	247.9667
3.252	59.3043	1.1558	24.8139	10.4203	248.1386
3.376	59.2631	1.2078	24.8312	10.4348	248.3118
3.502	59.2207	1.2606	24.8490	10.4498	248.4900
3.627	59.1783	1.3131	24.8669	10.4648	248.6686
3.751	59.1359	1.3652	24.8847	10.4798	248.8470
3.877	59.0927	1.4183	24.9029	10.4951	249.0291
4.001	59.0501	1.4706	24.9209	10.5103	249.2086
4.126	59.0072	1.5233	24.9389	10.5255	249.3894
4.252	58.9643	1.5766	24.9571	10.5409	249.5709
4.376	58.9223	1.6291	24.9748	10.5559	249.7483
4.502	58.8800	1.6826	24.9927	10.5710	249.9268
4.627	58.8387	1.7357	25.0102	10.5859	250.1017
4.751	58.7984	1.7884	25.0272	10.6004	250.2724
4.876	58.7585	1.8417	25.0441	10.6148	250.4414
5.002	58.7192	1.8954	25.0608	10.6290	250.6079
5.127	58.6813	1.9488	25.0769	10.6428	250.7689
5.252	58.6445	2.0022	25.0925	10.6561	250.9252
5.377	58.6089	2.0557	25.1076	10.6691	251.0763
5.502	58.5746	2.1093	25.1222	10.6816	251.2219
5.627	58.5418	2.1629	25.1361	10.6935	251.3615
5.752	58.5105	2.2166	25.1495	10.7050	251.4946
5.876	58.4811	2.2700	25.1620	10.7158	251.6199
6.002	58.4529	2.3242	25.1740	10.7261	251.7399
6.127	58.4268	2.3781	25.1851	10.7357	251.8514
6.252	58.4025	2.4320	25.1955	10.7446	251.9549
6.376	58.3803	2.4855	25.2049	10.7528	252.0495
6.502	58.3598	2.5399	25.2137	10.7603	252.1369
6.626	58.3417	2.5935	25.2214	10.7670	252.2143
6.752	58.3254	2.6480	25.2284	10.7730	252.2838
6.877	58.3115	2.7020	25.2343	10.7782	252.3434
7.002	58.2997	2.7562	25.2394	10.7825	252.3936
7.126	58.2903	2.8098	25.2434	10.7860	252.4338
7.252	58.2830	2.8644	25.2465	10.7887	252.4650
7.377	58.2781	2.9186	25.2486	10.7905	252.4860
7.502	58.2755	2.9727	25.2497	10.7915	252.4971
7.626	58.2752	3.0265	25.2498	10.7916	252.4983
7.752	58.2773	3.0810	25.2490	10.7909	252.4895
7.876	58.2816	3.1348	25.2471	10.7893	252.4711
8.001	58.2882	3.1889	25.2443	10.7868	252.4426
8.128	58.2973	3.2439	25.2404	10.7834	252.4038
8.252	58.3085	3.2976	25.2356	10.7793	252.3562
8.377	58.3219	3.3517	25.2299	10.7743	252.2988
8.501	58.3374	3.4053	25.2233	10.7686	252.2327
8.627	58.3553	3.4598	25.2156	10.7620	252.1563
8.751	58.3750	3.5133	25.2072	10.7548	252.0724
8.877	58.3970	3.5677	25.1978	10.7467	251.9784
9.001	58.4206	3.6212	25.1878	10.7380	251.8777
9.126	58.4463	3.6751	25.1768	10.7285	251.7681
9.252	58.4741	3.7293	25.1650	10.7183	251.6500
9.377	58.5033	3.7831	25.1525	10.7076	251.5254
9.502	58.5342	3.8368	25.1394	10.6963	251.3939
9.627	58.5667	3.8904	25.1256	10.6845	251.2558
9.752	58.6006	3.9440	25.1112	10.6721	251.1116
9.877	58.6359	3.9976	25.0962	10.6593	250.9617
10.003	58.6727	4.0514	25.0805	10.6459	250.8054
10.126	58.7098	4.1040	25.0648	10.6325	250.6480
10.251	58.7485	4.1573	25.0484	10.6184	250.4838
10.376	58.7881	4.2106	25.0316	10.6041	250.3158
10.502	58.8289	4.2642	25.0143	10.5894	250.1430
10.627	58.8701	4.3173	24.9969	10.5746	249.9688
10.751	58.9115	4.3699	24.9794	10.5597	249.7936
10.877	58.9541	4.4233	24.9614	10.5445	249.6137
11.002	58.9967	4.4762	24.9434	10.5293	249.4339
11.127	59.0395	4.5290	24.9253	10.5140	249.2533
11.251	59.0821	4.5813	24.9074	10.4989	249.0738
11.376	59.1250	4.6339	24.8893	10.4836	248.8930
11.501	59.1678	4.6865	24.8713	10.4685	248.7128
11.626	59.2103	4.7390	24.8534	10.4535	248.5339
11.751	59.2525	4.7914	24.8357	10.4386	248.3566
11.877	59.2945	4.8442	24.8180	10.4238	248.1800
12.002	59.3356	4.8965	24.8008	10.4094	248.0075
12.127	59.3760	4.9487	24.7838	10.3952	247.8380
12.252	59.4155	5.0008	24.7672	10.3814	247.6721
12.376	59.4539	5.0525	24.7511	10.3680	247.5114
12.501	59.4915	5.1045	24.7354	10.3549	247.3538
12.627	59.5283	5.1568	24.7200	10.3421	247.1997
12.751	59.5633	5.2083	24.7053	10.3299	247.0533
12.877	59.5976	5.2605	24.6910	10.3180	246.9101
13.002	59.6302	5.3123	24.6774	10.3068	246.7740
13.126	59.6610	5.3636	24.6645	10.2961	246.6453
13.251	59.6905	5.4152	24.6522	10.2859	246.5221
13.377	59.7186	5.4672	24.6405	10.2762	246.4049
13.501	59.7446	5.5184	24.6297	10.2673	246.2967
13.626	59.7689	5.5699	24.6195	10.2590	246.1951
13.752	59.7916	5.6217	24.6101	10.2512	246.1006
13.877	59.8122	5.6732	24.6015	10.2441	246.0148
14.002	59.8309	5.7246	24.5937	10.2377	245.9372
14.127	59.8475	5.7759	24.5868	10.2320	245.8681
14.251	59.8619	5.8269	24.5808	10.2271	245.8079
14.376	59.8744	5.8782	24.5756	10.2228	245.7559
14.501	59.8848	5.9295	24.5713	10.2193	245.7128
14.626	59.8930	5.9808	24.5679	10.2165	245.6786
14.752	59.8991	6.0324	24.5653	10.2144	245.6532
14.876	59.9029	6.0833	24.5637	10.2131	245.6373
15.002	59.9046	6.1350	24.5630	10.2125	245.6304
15.126	59.9041	6.1858	24.5633	10.2127	245.6326
15.252	59.9013	6.2375	24.5644	10.2137	245.6440
15.377	59.8964	0.0055	24.5665	10.2153	245.6646
15.501	59.8893	0.0564	24.5694	10.2177	245.6939
15.626	59.8801	0.1077	24.5732	10.2209	245.7324
15.752	59.8686	0.1594	24.5780	10.2248	245.7802
15.877	59.8551	0.2107	24.5836	10.2295	245.8364
16.002	59.8395	0.2621	24.5901	10.2348	245.9013
16.126	59.8220	0.3131	24.5974	10.2408	245.9741
16.251	59.8024	0.3645	24.6056	10.2475	246.0557
16.376	59.7809	0.4159	24.6145	10.2549	246.1454
16.502	59.7573	0.4678	24.6244	10.2630	246.2438
16.627	59.7320	0.5194	24.6349	10.2716	246.3490
16.751	59.7052	0.5705	24.6461	10.2809	246.4607
16.877	59.6763	0.6226	24.6581	10.2908	246.5814
17.001	59.6463	0.6738	24.6707	10.3012	246.7068
17.127	59.6142	0.7260	24.6841	10.3123	246.8408
17.251	59.5812	0.7773	24.6979	10.3237	246.9788
17.376	59.5465	0.8292	24.7124	10.3357	247.1236
17.502	59.5104	0.8815	24.7275	10.3483	247.2750
17.627	59.4733	0.9335	24.7430	10.3612	247.4302
17.751	59.4354	0.9851	24.7589	10.3744	247.5887
17.878	59.3957	1.0380	24.7755	10.3883	247.7553
18.002	59.3560	1.0898	24.7922	10.4022	247.9218
18.127	59.3152	1.1420	24.8093	10.4165	248.0928
18.251	59.2742	1.1939	24.8265	10.4309	248.2653
18.377	59.2319	1.2467	24.8443	10.4458	248.4430
18.502	59.1895	1.2992	24.8621	10.4608	248.6211
18.626	59.1472	1.3513	24.8799	10.4758	248.7993
18.752	59.1040	1.4043	24.8981	10.4911	248.9812
18.876	59.0614	1.4566	24.9161	10.5062	249.1607
19.001	59.0186	1.5094	24.9342	10.5215	249.3416
19.127	58.9755	1.5626	24.9523	10.5368	249.5233
19.251	58.9334	1.6151	24.9701	10.5519	249.7011
19.376	58.8914	1.6681	24.9879	10.5670	249.8787
19.502	58.8496	1.7216	25.0056	10.5820	250.0556
19.626	58.8091	1.7743	25.0227	10.5966	250.2271
19.752	58.7687	1.8280	25.0398	10.6112	250.3983
19.877	58.7295	1.8813	25.0565	10.6253	250.5645
20.001	58.6915	1.9342	25.0725	10.6391	250.7254
20.127	58.6541	1.9881	25.0884	10.6526	250.8843
20.252	58.6182	2.0415	25.1037	10.6657	251.0368
20.377	58.5836	2.0951	25.1184	10.6783	251.1839
20.503	58.5501	2.1492	25.1326	10.6905	251.3262
20.627	58.5187	2.2024	25.1460	10.7020	251.4600
20.752	58.4886	2.2562	25.1588	10.7130	251.5881
20.877	58.4602	2.3099	25.1709	10.7234	251.7091
21.001	58.4337	2.3634	25.1822	10.7331	251.8217
21.127	58.4087	2.4177	25.1928	10.7423	251.9283
21.251	58.3861	2.4712	25.2025	10.7507	252.0250
21.376	58.3652	2.5252	25.2114	10.7584	252.1141
21.501	58.3463	2.5792	25.2194	10.7653	252.1945
21.626	58.3296	2.6332	25.2266	10.7715	252.2659
21.751	58.3151	2.6873	25.2328	10.7769	252.3280
21.877	58.3026	2.7418	25.2381	10.7815	252.3812
22.002	58.2925	2.7959	25.2424	10.7852	252.4243
22.127	58.2847	2.8501	25.2458	10.7881	252.4577
22.252	58.2792	2.9042	25.2481	10.7901	252.4814
22.377	58.2760	2.9584	25.2495	10.7913	252.4951
22.502	58.2751	3.0125	25.2499	10.7917	252.4989
22.627	58.2765	3.0667	25.2493	10.7911	252.4928
22.752	58.2803	3.1209	25.2477	10.7897	252.4768
22.877	58.2863	3.1750	25.2451	10.7875	252.4509
23.002	58.2947	3.2291	25.2415	10.7844	252.4152
23.126	58.3052	3.2828	25.2370	10.7805	252.3702
23.251	58.3180	3.3369	25.2315	10.7758	252.3154
23.375	58.3329	3.3905	25.2252	10.7703	252.2518
23.502	58.3504	3.4454	25.2177	10.7638	252.1773
23.627	58.3697	3.4995	25.2095	10.7567	252.0950
23.753	58.3912	3.5539	25.2003	10.7488	252.0032
23.876	58.4141	3.6069	25.1905	10.7404	251.9053
24.002	58.4395	3.6612	25.1797	10.7310	251.7970
24.127	58.4666	3.7151	25.1682	10.7211	251.6817
24.251	58.4952	3.7684	25.1560	10.7106	251.5601
24.377	58.5259	3.8226	25.1429	10.6994	251.4293
24.503	58.5582	3.8767	25.1292	10.6876	251.2919
24.628	58.5917	3.9303	25.1149	10.6753	251.1492
24.751	58.6261	3.9830	25.1003	10.6628	251.0032
24.877	58.6626	4.0369	25.0848	10.6496	250.8482
25.002	58.7000	4.0903	25.0690	10.6360	250.6895
25.126	58.7381	4.1432	25.0528	10.6222	250.5277
25.252	58.7779	4.1969	25.0359	10.6078	250.3593
25.377	58.8181	4.2501	25.0189	10.5933	250.1887
25.502	58.8592	4.3032	25.0015	10.5786	250.0152
25.626	58.9004	4.3559	24.9841	10.5637	249.8405
25.752	58.9429	4.4093	24.9661	10.5485	249.6611
25.877	58.9854	4.4622	24.9482	10.5333	249.4816
26.003	59.0285	4.5154	24.9300	10.5179	249.2997
26.126	59.0707	4.5673	24.9122	10.5029	249.1217
26.252	59.1140	4.6204	24.8939	10.4876	248.9393
26.376	59.1564	4.6726	24.8760	10.4725	248.7605
26.502	59.1994	4.7255	24.8580	10.4573	248.5797
26.627	59.2417	4.7780	24.8402	10.4424	248.4019
26.751	59.2832	4.8299	24.8228	10.4278	248.2276
26.876	59.3244	4.8822	24.8054	10.4133	248.0543
27.001	59.3650	4.9345	24.7884	10.3990	247.8839
27.126	59.4048	4.9866	24.7717	10.3851	247.7170
27.251	59.4437	5.0387	24.7554	10.3715	247.5539
27.377	59.4820	5.0911	24.7394	10.3582	247.3938
27.502	59.5188	5.1431	24.7240	10.3454	247.2397
27.627	59.5544	5.1950	24.7091	10.3330	247.0907
27.752	59.5887	5.2468	24.6947	10.3211	246.9472
27.877	59.6217	5.2986	24.6809	10.3097	246.8095
28.001	59.6529	5.3499	24.6679	10.2989	246.6790
28.127	59.6831	5.4019	24.6553	10.2885	246.5530
28.251	59.7112	5.4531	24.6436	10.2788	246.4359
28.378	59.7382	5.5055	24.6323	10.2695	246.3231
28.502	59.7629	5.5566	24.6220	10.2610	246.2205
28.626	59.7857	5.6077	24.6125	10.2532	246.1254
28.751	59.8068	5.6591	24.6037	10.2460	246.0374
28.876	59.8260	5.7106	24.5958	10.2394	245.9576
29.002	59.8433	5.7623	24.5886	10.2335	245.8855
29.126	59.8583	5.8133	24.5823	10.2284	245.8231
29.251	59.8713	5.8646	24.5769	10.2239	245.7688
29.376	59.8823	5.9159	24.5723	10.2202	245.7233
29.501	59.8911	5.9672	24.5687	10.2172	245.6868
29.626	59.8977	6.0185	24.5659	10.2149	245.6592
29.752	59.9022	6.0701	24.5641	10.2134	245.6406
29.876	59.9044	6.1210	24.5631	10.2126	245.6313
30.001	59.9044	6.1722	24.5631	10.2126	245.6311
30.127	59.9023	6.2239	24.5640	10.2133	245.6401
30.252	59.8979	6.2752	24.5658	10.2148	245.6582
30.376	59.8914	0.0428	24.5685	10.2170	245.6852
30.502	59.8827	0.0945	24.5722	10.2200	245.7216
30.626	59.8719	0.1454	24.5766	10.2237	245.7664
30.752	59.8589	0.1971	24.5821	10.2282	245.8207
30.877	59.8438	0.2485	24.5883	10.2333	245.8833
31.001	59.8269	0.2995	24.5954	10.2391	245.9539
31.126	59.8078	0.3509	24.6033	10.2456	246.0333
31.251	59.7868	0.4023	24.6121	10.2528	246.1209
31.377	59.7636	0.4542	24.6217	10.2608	246.2172
31.501	59.7391	0.5053	24.6320	10.2692	246.3196
31.626	59.7125	0.5569	24.6430	10.2783	246.4302
31.752	59.6841	0.6089	24.6549	10.2882	246.5490
31.876	59.6544	0.6601	24.6673	10.2984	246.6727
32.002	59.6228	0.7122	24.6805	10.3093	246.8050
32.126	59.5901	0.7636	24.6941	10.3206	246.9414
32.251	59.5558	0.8154	24.7085	10.3325	247.0847
32.377	59.5200	0.8677	24.7235	10.3450	247.2347
32.502	59.4832	0.9197	24.7389	10.3578	247.3886
32.626	59.4456	0.9713	24.7546	10.3709	247.5460
32.752	59.4064	1.0238	24.7710	10.3845	247.7102