t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)	Ptot (kg m/s)
0.000	0.0000	40.0000	0.0000	0.0000	0.0000	0.0000
0.121	0.0000	39.9282	1.1866	4.7124	9.8066	1.1866
0.246	0.0000	39.7033	2.4124	4.7124	9.8066	2.4124
0.371	0.0000	39.3251	3.6383	4.7124	9.8066	3.6383
0.511	0.0000	38.7196	5.0112	4.7124	9.8066	5.0112
0.622	0.0000	38.1030	6.0997	4.7124	9.8066	6.0997
0.761	0.0000	37.1604	7.4629	4.7124	9.8066	7.4629
0.870	0.0000	36.2887	8.5318	4.7124	9.8066	8.5318
0.995	0.0000	35.1456	9.7576	4.7124	9.8066	9.7576
1.120	0.0000	33.8493	10.9834	4.7124	9.8066	10.9834
1.245	0.0000	32.3997	12.2093	4.7124	9.8066	12.2093
1.386	0.0000	30.5807	13.5920	4.7124	9.8066	13.5920
1.496	0.0000	29.0263	14.6707	4.7124	9.8066	14.6707
1.623	0.0000	27.0840	15.9162	4.7124	9.8066	15.9162
1.748	0.0000	25.0179	17.1420	4.7124	9.8066	17.1420
1.870	0.0000	22.8536	18.3384	4.7124	9.8066	18.3384
1.998	0.0000	20.4259	19.5937	4.7124	9.8066	19.5937
2.122	0.0000	17.9209	20.8097	4.7124	9.8066	20.8097
2.263	0.0000	14.8892	22.1924	4.7124	9.8066	22.1924
2.386	0.0000	12.0854	23.3987	4.7124	9.8066	23.3987
2.496	0.0000	9.4522	24.4774	4.7124	9.8066	24.4774
2.620	0.0000	6.3416	25.6934	4.7124	9.8066	25.6934
2.761	0.0000	2.6214	27.0762	4.7124	9.8066	27.0762
2.870	0.0000	-0.3882	28.1451	4.7124	9.8066	28.1451