	Ball #1								Ball #2							
t (sec)	X (m)	Y (m)	Vx (m/s)	Vy (m/s)	ax (m/s²)	ay (m/s²)	Px (kg m/s)	Py (kg m/s)	X (m)	Y (m)	Vx (m/s)	Vy (m/s)	ax (m/s²)	ay (m/s²)	Px (kg m/s)	Py (kg m/s)
0.000	-5.0000	0.0000	20.0000	0.0000	0.0000	0.0000	100.0000	0.0000	5.0000	0.0000	1.0000	0.0000	0.0000	0.0000	50.0000	0.0000
0.078	-3.4400	0.0000	20.0000	0.0000	0.0000	0.0000	100.0000	0.0000	5.0780	0.0000	1.0000	0.0000	0.0000	0.0000	50.0000	0.0000
0.172	-1.5600	0.0000	20.0000	0.0000	0.0000	0.0000	100.0000	0.0000	5.1720	0.0000	1.0000	0.0000	0.0000	0.0000	50.0000	0.0000
0.235	-0.3000	0.0000	20.0000	0.0000	0.0000	0.0000	100.0000	0.0000	5.2350	0.0000	1.0000	0.0000	0.0000	0.0000	50.0000	0.0000
0.297	0.9400	0.0000	20.0000	0.0000	0.0000	0.0000	100.0000	0.0000	5.2970	0.0000	1.0000	0.0000	0.0000	0.0000	50.0000	0.0000
0.376	2.3891	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	5.3891	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.454	2.6018	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	5.6018	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.532	2.8145	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	5.8145	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.595	2.9864	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	5.9864	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.657	3.1555	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	6.1555	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.719	3.3245	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	6.3245	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.782	3.4964	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	6.4964	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.845	3.6682	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	6.6682	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.907	3.8373	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	6.8373	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
0.970	4.0091	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	7.0091	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.048	4.2218	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	7.2218	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.109	4.3882	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	7.3882	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.172	4.5600	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	7.5600	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.251	4.7755	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	7.7755	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.329	4.9882	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	7.9882	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.408	5.2036	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	8.2036	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.500	5.4545	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	8.4545	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.579	5.6700	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	8.6700	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.658	5.8855	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	8.8855	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.750	6.1364	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	9.1364	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.843	6.3900	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	9.3900	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.906	6.5618	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	9.5618	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
1.986	6.7800	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	9.7800	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
2.048	6.9491	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	9.9491	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000
2.062	6.9873	0.0000	2.7273	0.0000	0.0000	0.0000	13.6364	0.0000	9.9873	0.0000	2.7273	0.0000	0.0000	0.0000	136.3636	0.0000